Entity_Name,Year,Quarter,Type,Count,Amount,State
744301,2019,2,Pincode,1007,4849284.51925976,andaman-&-nicobar-islands
744112,2019,2,Pincode,763,2928099.608406143,andaman-&-nicobar-islands
south andaman,2019,2,District,28490,102530955.71341258,andaman-&-nicobar-islands
north and middle andaman,2019,2,District,3371,8612103.13788812,andaman-&-nicobar-islands
nicobars,2019,2,District,1828,9111650.82436246,andaman-&-nicobar-islands
744103,2019,3,Pincode,5680,19906337.014255583,andaman-&-nicobar-islands
744101,2019,3,Pincode,5606,18745152.093515635,andaman-&-nicobar-islands
744104,2019,3,Pincode,4786,15754793.354826454,andaman-&-nicobar-islands
744102,2019,3,Pincode,3643,14572605.602745283,andaman-&-nicobar-islands
744105,2019,3,Pincode,3512,11767223.99688773,andaman-&-nicobar-islands
744202,2019,3,Pincode,1417,3875602.0982028744,andaman-&-nicobar-islands
744301,2019,3,Pincode,1402,6195496.621729916,andaman-&-nicobar-islands
744211,2019,3,Pincode,1118,2983697.449378184,andaman-&-nicobar-islands
744107,2019,3,Pincode,914,1988299.759710987,andaman-&-nicobar-islands
744112,2019,3,Pincode,833,2198831.6919406196,andaman-&-nicobar-islands
south andaman,2019,3,District,27421,91023888.32848613,andaman-&-nicobar-islands
north and middle andaman,2019,3,District,4049,11481466.283356791,andaman-&-nicobar-islands
nicobars,2019,3,District,2300,11566421.475451011,andaman-&-nicobar-islands
744104,2019,4,Pincode,6633,20626642.701508522,andaman-&-nicobar-islands
744101,2019,4,Pincode,5282,23247752.473849062,andaman-&-nicobar-islands
744103,2019,4,Pincode,4840,19792507.955761045,andaman-&-nicobar-islands
744105,2019,4,Pincode,3528,15302141.17488026,andaman-&-nicobar-islands
744102,2019,4,Pincode,3237,15350444.97320769,andaman-&-nicobar-islands
744202,2019,4,Pincode,1783,5800016.5561128855,andaman-&-nicobar-islands
744211,2019,4,Pincode,1596,7908264.721918669,andaman-&-nicobar-islands
744301,2019,4,Pincode,1549,7056478.928838715,andaman-&-nicobar-islands
744201,2019,4,Pincode,886,946768.0636478986,andaman-&-nicobar-islands
744107,2019,4,Pincode,777,3030368.911900454,andaman-&-nicobar-islands
south andaman,2019,4,District,27843,110930312.20611623,andaman-&-nicobar-islands
north and middle andaman,2019,4,District,4716,13524056.784573946,andaman-&-nicobar-islands
nicobars,2019,4,District,2600,12384161.52668771,andaman-&-nicobar-islands
744101,2020,1,Pincode,11793,58229349.02415232,andaman-&-nicobar-islands
744103,2020,1,Pincode,5870,22009443.073053975,andaman-&-nicobar-islands
744105,2020,1,Pincode,4635,16774043.311987936,andaman-&-nicobar-islands
744102,2020,1,Pincode,3820,14517706.12269676,andaman-&-nicobar-islands
744211,2020,1,Pincode,1837,8425387.79004211,andaman-&-nicobar-islands
744301,2020,1,Pincode,1819,6901162.107519586,andaman-&-nicobar-islands
744202,2020,1,Pincode,1794,5037742.395579022,andaman-&-nicobar-islands
744104,2020,1,Pincode,1302,5293130.290633954,andaman-&-nicobar-islands
744201,2020,1,Pincode,1157,1242638.821252932,andaman-&-nicobar-islands
744107,2020,1,Pincode,1043,2990354.4448547475,andaman-&-nicobar-islands
south andaman,2020,1,District,32713,134679396.90582758,andaman-&-nicobar-islands
north and middle andaman,2020,1,District,5674,14697371.617857102,andaman-&-nicobar-islands
nicobars,2020,1,District,2911,12099543.773590053,andaman-&-nicobar-islands
744101,2020,2,Pincode,11868,48293323.21851964,andaman-&-nicobar-islands
744103,2020,2,Pincode,10035,26197535.98945152,andaman-&-nicobar-islands
744105,2020,2,Pincode,9341,23203019.858980607,andaman-&-nicobar-islands
744102,2020,2,Pincode,6012,17786750.907515876,andaman-&-nicobar-islands
744202,2020,2,Pincode,3722,8924121.010762567,andaman-&-nicobar-islands
744107,2020,2,Pincode,2555,3980470.6853698147,andaman-&-nicobar-islands
744301,2020,2,Pincode,2275,9055232.527755566,andaman-&-nicobar-islands
744211,2020,2,Pincode,2045,3319717.6328789736,andaman-&-nicobar-islands
744205,2020,2,Pincode,1847,4459064.90732021,andaman-&-nicobar-islands
744104,2020,2,Pincode,1840,3334591.822304932,andaman-&-nicobar-islands
south andaman,2020,2,District,48088,132855778.74838585,andaman-&-nicobar-islands
north and middle andaman,2020,2,District,10979,22447714.061058953,andaman-&-nicobar-islands
nicobars,2020,2,District,3895,14341508.60470232,andaman-&-nicobar-islands
744101,2020,3,Pincode,24386,100439119.66860783,andaman-&-nicobar-islands
744103,2020,3,Pincode,21272,60332278.69396809,andaman-&-nicobar-islands
744105,2020,3,Pincode,17166,44061506.56273589,andaman-&-nicobar-islands
744102,2020,3,Pincode,13934,43077189.842844136,andaman-&-nicobar-islands
744202,2020,3,Pincode,5779,11975748.707876923,andaman-&-nicobar-islands
744107,2020,3,Pincode,4753,7628018.669464628,andaman-&-nicobar-islands
744104,2020,3,Pincode,3468,7353834.51320935,andaman-&-nicobar-islands
744112,2020,3,Pincode,3422,6067986.696111794,andaman-&-nicobar-islands
744301,2020,3,Pincode,3071,13352610.531559702,andaman-&-nicobar-islands
744205,2020,3,Pincode,2991,7535645.788593667,andaman-&-nicobar-islands
south andaman,2020,3,District,95323,282366109.20523936,andaman-&-nicobar-islands
north and middle andaman,2020,3,District,16747,33486883.37042556,andaman-&-nicobar-islands
nicobars,2020,3,District,5413,22166453.754695382,andaman-&-nicobar-islands
744103,2020,4,Pincode,46884,138264791.5489212,andaman-&-nicobar-islands
744101,2020,4,Pincode,40392,136401368.02166596,andaman-&-nicobar-islands
744105,2020,4,Pincode,34410,87838226.93633425,andaman-&-nicobar-islands
744102,2020,4,Pincode,26694,76348598.32238364,andaman-&-nicobar-islands
744202,2020,4,Pincode,10949,25543799.074759968,andaman-&-nicobar-islands
744107,2020,4,Pincode,9743,18083250.19055397,andaman-&-nicobar-islands
