Year,Quarter,Brand,Count,Percentage
2021,1,Samsung,56154448,0.191407851113493
2021,1,Vivo,53341577,0.18532651290803193
2021,1,Oppo,35512221,0.12459725290097524
2021,1,Realme,17541430,0.0627293674455756
2021,1,Apple,7201855,0.029747890193748443
2021,1,Motorola,5601396,0.017783851129275954
2021,1,Lenovo,3437345,0.013984065730354284
2021,1,Huawei,5145469,0.019772784961393775
2021,1,Others,22632855,0.07926861937645732
2021,2,Xiaomi,75948216,0.25682670789054585
2021,2,Samsung,59144529,0.18861006393791754
2021,2,Vivo,58646328,0.18909951788012885
2021,2,Oppo,38402666,0.12513635711671806
2021,2,Realme,20619357,0.06892782352184126
2021,2,Apple,7936817,0.029469835985987992
2021,2,Motorola,5741618,0.016297207288059418
2021,2,Lenovo,2877276,0.013412959587756984
2021,2,Huawei,5067245,0.018546287561097788
2021,2,Others,23207147,0.0766667790567034
2021,3,Xiaomi,80749293,0.25474043936316837
2021,3,Samsung,61299236,0.1820386953564081
2021,3,Vivo,65338266,0.19457443802301513
2021,3,Oppo,42064633,0.12683389425031932
2021,3,Realme,24185858,0.07517881461159963
2021,3,Apple,8530281,0.029588180743985667
2021,3,Motorola,5648189,0.015008702651353867
2021,3,Lenovo,2189598,0.012243901462664464
2021,3,Huawei,4937354,0.01829345135511023
2021,3,Others,23684109,0.0734143835767937
2021,4,Xiaomi,84820133,0.25209208307528885
2021,4,Samsung,63618334,0.17661151549937332
2021,4,Vivo,71482846,0.19745776721953978
2021,4,Oppo,45568967,0.12765739041672053
2021,4,Realme,28685885,0.08349985796499611
2021,4,Apple,9509602,0.031015975541730165
2021,4,Motorola,5602538,0.014351682400188071
2021,4,Lenovo,1838997,0.011525606399485628
2021,4,Huawei,4652165,0.017111620092137382
2021,4,Others,23817248,0.06967686408374468
2022,1,Xiaomi,88426667,0.2485680101228142
2022,1,Samsung,65886550,0.17219150738063277
2022,1,Vivo,77224385,0.19965310806311523
2022,1,Oppo,49093736,0.12907432599997043
2022,1,Realme,32685464,0.08962901191014945
2022,1,Apple,10774897,0.030786654825641836
2022,1,Motorola,5003193,0.0139215958481716
2022,1,Lenovo,1833647,0.010951741774950972
2022,1,Huawei,4328502,0.01619781336141919
2022,1,Others,24227235,0.0672631584737012
2022,2,Xiaomi,0,
2022,2,Samsung,0,
2022,2,Vivo,0,
2022,2,Oppo,0,
2022,2,Realme,0,
2022,2,Apple,0,
2022,2,Motorola,0,
2022,2,Lenovo,0,
2022,2,Huawei,0,
2022,2,Others,0,
2022,3,Xiaomi,0,
2022,3,Samsung,0,
2022,3,Vivo,0,
2022,3,Oppo,0,
2022,3,Realme,0,
2022,3,Apple,0,
2022,3,Motorola,0,
2022,3,Lenovo,0,
2022,3,Huawei,0,
2022,3,Others,0,
2022,4,Xiaomi,0,
2022,4,Samsung,0,
2022,4,Vivo,0,
2022,4,Oppo,0,
2022,4,Realme,0,
2022,4,Apple,0,
2022,4,Motorola,0,
2022,4,Lenovo,0,
2022,4,Huawei,0,
2022,4,Others,0,
