Year,Quarter,State,Count,Amount
2018,4,gujarat,14733303,24830987102.782555
2018,4,haryana,12950183,25390876016.455875
2018,4,himachal-pradesh,1307883,2621298968.1392374
2018,4,jammu-&-kashmir,2721310,5664720265.697473
2018,4,jharkhand,6284043,10241916641.122265
2018,4,karnataka,44812071,73008386576.07219
2018,4,kerala,4310654,7747361236.81236
2018,4,ladakh,35211,135522842.49263754
2018,4,lakshadweep,1642,4463213.698222831
2018,4,madhya-pradesh,21397555,33905608072.96817
2018,4,maharashtra,46090223,79518937047.83649
2018,4,manipur,236110,605683559.3060098
2018,4,meghalaya,161132,337585679.00467265
2018,4,mizoram,55242,190426852.52952963
2018,4,nagaland,139333,388013467.5456229
2018,4,odisha,21142798,23429869571.56183
2018,4,puducherry,307964,625691665.423495
2018,4,punjab,4887137,10781982573.649637
2018,4,rajasthan,20959723,37909087083.339165
2018,4,sikkim,154533,383141358.0782536
2018,4,tamil-nadu,22457444,43302073975.895355
2018,4,telangana,28921154,49509088448.04936
2018,4,tripura,448059,624885599.4644458
2018,4,uttar-pradesh,36100767,55096743575.91992
2018,4,uttarakhand,3178761,5654272137.963861
2018,4,west-bengal,36513548,40489619211.70476
2019,1,andaman-&-nicobar-islands,30486,102299740.6734899
2019,1,andhra-pradesh,57264522,83760595917.07922
2019,1,arunachal-pradesh,226506,609950106.3139493
2019,1,assam,4533005,8002099536.450749
2019,1,bihar,26356234,41502827514.5264
2019,1,chandigarh,1274476,2396032050.444029
2019,1,chhattisgarh,7887669,12544556385.328346
2019,1,dadra-&-nagar-haveli-&-daman-&-diu,661814,843369776.0499012
2019,1,delhi,47007327,58469131789.49722
2019,1,goa,738812,1475323397.2765768
2019,1,gujarat,24991451,35856080308.47684
2019,1,haryana,22135775,34051655721.632015
2019,1,himachal-pradesh,2168718,3381481442.991052
2019,1,jammu-&-kashmir,3584987,5951835476.52097
2019,1,jharkhand,9387708,13627236449.278015
2019,1,karnataka,86587609,117976382145.76358
2019,1,kerala,6469039,10235031134.849646
2019,1,ladakh,46145,152859920.94912717
2019,1,lakshadweep,2481,8786130.479338996
2019,1,madhya-pradesh,37301049,48070279522.04944
2019,1,maharashtra,75079069,111420690920.34543
2019,1,manipur,265409,659898060.4240797
2019,1,meghalaya,208741,399037162.1534355
2019,1,mizoram,70306,218160895.39740252
2019,1,nagaland,168579,441941712.41232985
2019,1,odisha,34031942,35427127930.69939
2019,1,puducherry,501092,906473024.3065227
2019,1,punjab,7172137,13574490001.853003
2019,1,rajasthan,43956040,61141158575.555466
2019,1,sikkim,240287,457993634.3840942
2019,1,tamil-nadu,32275045,56204036816.13193
2019,1,telangana,65290702,95523262035.66656
2019,1,tripura,580926,756894941.6158214
2019,1,uttar-pradesh,57324504,76524180134.01335
2019,1,uttarakhand,5546001,7183529175.273893
2019,1,west-bengal,47626388,50164672623.88053
2019,2,andaman-&-nicobar-islands,33689,120254709.67566316
2019,2,andhra-pradesh,56409015,113634518758.22745
2019,2,arunachal-pradesh,258656,752655874.3550282
2019,2,assam,5454929,10954969189.126196
2019,2,bihar,29960479,63132438283.54148
2019,2,chandigarh,1252470,2693116098.944456
2019,2,chhattisgarh,9389945,17002355688.822344
2019,2,dadra-&-nagar-haveli-&-daman-&-diu,489656,824441276.5650709
2019,2,delhi,57171512,81706816063.62817
2019,2,goa,768441,1591867103.3876166
2019,2,gujarat,28981842,49320615219.2676
2019,2,haryana,22741816,42501539813.216446
2019,2,himachal-pradesh,2502306,4875883973.610579
2019,2,jammu-&-kashmir,2296355,6100142201.563486
2019,2,jharkhand,10128211,18622701305.546337
2019,2,karnataka,115401604,163702024226.0842
2019,2,kerala,7283826,13031371561.185558
2019,2,ladakh,68772,259255506.9974247
2019,2,lakshadweep,2926,9242524.13698889
2019,2,madhya-pradesh,40846013,68334566380.55629
2019,2,maharashtra,101149853,153294470088.0557
2019,2,manipur,257425,722789942.1494999
2019,2,meghalaya,232286,492931289.10727924
2019,2,mizoram,75671,248016708.1350144
2019,2,nagaland,188753,520066682.15850306
2019,2,odisha,29512024,44754854871.673485
2019,2,puducherry,580077,1211446910.127807
2019,2,punjab,8509830,18614793394.772293
2019,2,rajasthan,50009286,89107313172.66385
2019,2,sikkim,388244,738894243.4359409
2019,2,tamil-nadu,32171737,64207676025.75759
2019,2,telangana,89610379,155676443182.43335
2019,2,tripura,532558,841821482.8473763
2019,2,uttar-pradesh,58883500,98917519370.67369
2019,2,uttarakhand,4813275,8588532850.9185
2019,2,west-bengal,47023535,57105691119.118675
2019,3,andaman-&-nicobar-islands,33770,114071776.08729391
2019,3,andhra-pradesh,76288614,139447944254.7973
2019,3,arunachal-pradesh,370234,912645034.7958701
2019,3,assam,5942571,12950443620.426512
2019,3,bihar,32139900,67692783254.27991
2019,3,chandigarh,1506543,3269682087.660841
2019,3,chhattisgarh,12243111,19803259167.45332
2019,3,dadra-&-nagar-haveli-&-daman-&-diu,638751,961471473.848372
2019,3,delhi,69537876,103196812046.45694
2019,3,goa,1092416,2000367191.4968407
2019,3,gujarat,38228649,59462694964.26805
2019,3,haryana,30343531,52489119199.44211
2019,3,himachal-pradesh,2735180,5572018781.123379
2019,3,jammu-&-kashmir,1116526,3744230491.7824655
2019,3,jharkhand,14220647,21465973993.35914
2019,3,karnataka,170733735,214536720438.19772
2019,3,kerala,9286096,16429809722.064468
2019,3,ladakh,92396,331129527.1938223
2019,3,lakshadweep,3104,9651761.463768473
2019,3,madhya-pradesh,53610411,77676321491.24524
2019,3,maharashtra,148735581,199617506744.95584
2019,3,manipur,345008,863552002.5629337
2019,3,meghalaya,306550,612218602.1535325
2019,3,mizoram,98094,278793899.951342
2019,3,nagaland,261878,650956471.7134109
2019,3,odisha,41422272,57304577359.22441
2019,3,puducherry,716826,1460708357.4554117
2019,3,punjab,10706812,22905815605.84319
2019,3,rajasthan,67303617,112468290031.93045
2019,3,sikkim,552436,884716448.4404278
2019,3,tamil-nadu,41410183,78959604643.6407
2019,3,telangana,121495376,201930021130.4267
2019,3,tripura,711717,1017377422.8172247
2019,3,uttar-pradesh,68623959,111268137475.05243
2019,3,uttarakhand,5710476,9729032070.017328
2019,3,west-bengal,66444829,70540532616.83058
2019,4,andaman-&-nicobar-islands,35159,136838530.51737788
2019,4,andhra-pradesh,107218103,200948315488.79202
2019,4,arunachal-pradesh,459475,1190573179.5272837
2019,4,assam,6760510,15281983895.5121
2019,4,bihar,43530314,93313426577.80914
2019,4,chandigarh,1850915,4152513817.939354
2019,4,chhattisgarh,16305758,27143788737.213055
2019,4,dadra-&-nagar-haveli-&-daman-&-diu,768971,1226641262.01104
2019,4,delhi,80744997,129024467424.89062
2019,4,goa,1515272,2923460348.499469
2019,4,gujarat,42547632,76690662054.91364
2019,4,haryana,37825985,69359719869.10031
2019,4,himachal-pradesh,3516646,7271163537.248236
2019,4,jammu-&-kashmir,489928,1929695997.8225958
2019,4,jharkhand,18248618,28147748376.67695
2019,4,karnataka,237796252,295047143447.2267
2019,4,kerala,12498637,21151326637.80472
2019,4,ladakh,84706,324689360.02811146
2019,4,lakshadweep,3765,11269913.40492385
2019,4,madhya-pradesh,68131989,104687926790.85556
2019,4,maharashtra,201260620,272994428799.54803
2019,4,manipur,449344,1200897682.0886378
2019,4,meghalaya,365981,742436471.790219
